zip,state,Region,zip_first_two_digits,zip_first_three_digits
02762,MA,Northeast,02,027
02763,MA,Northeast,02,027
02764,MA,Northeast,02,027
02766,MA,Northeast,02,027
02767,MA,Northeast,02,027
02768,MA,Northeast,02,027
02769,MA,Northeast,02,027
02770,MA,Northeast,02,027
02771,MA,Northeast,02,027
02777,MA,Northeast,02,027
02779,MA,Northeast,02,027
02780,MA,Northeast,02,027
02783,MA,Northeast,02,027
02790,MA,Northeast,02,027
02791,MA,Northeast,02,027
02801,RI,Northeast,02,028
02802,RI,Northeast,02,028
02804,RI,Northeast,02,028
02806,RI,Northeast,02,028
02807,RI,Northeast,02,028
02808,RI,Northeast,02,028
02809,RI,Northeast,02,028
02812,RI,Northeast,02,028
02813,RI,Northeast,02,028
02814,RI,Northeast,02,028
02815,RI,Northeast,02,028
02816,RI,Northeast,02,028
02817,RI,Northeast,02,028
02818,RI,Northeast,02,028
02822,RI,Northeast,02,028
02823,RI,Northeast,02,028
02824,RI,Northeast,02,028
02825,RI,Northeast,02,028
02826,RI,Northeast,02,028
02827,RI,Northeast,02,028
02828,RI,Northeast,02,028
02829,RI,Northeast,02,028
02830,RI,Northeast,02,028
02831,RI,Northeast,02,028
02832,RI,Northeast,02,028
02833,RI,Northeast,02,028
02835,RI,Northeast,02,028
02836,RI,Northeast,02,028
