Company,Zip Prefix,WeekNum,Sales,Temp,Precip,GoogTrend,GoogTrendM1,GoogTrendR,GoogTrendRM1,Gprice,Non-Physical Sales,Month
H&M,8,39,2307.18,66.0765,0.066926,60,60,30,31,3.2833,65895762.01,10
H&M,8,40,2419.32,58.1811,0.1039,63,60,32,30,3.2106,50791777.24,10
H&M,8,41,4080.59,63.7411,0.12319,65,63,34,32,3.1195,47355591.03,10
H&M,8,42,2644.73,54.2334,0.12853,63,65,34,34,3.0507,49073930.89,10
H&M,8,43,3060.84,53.6849,0.13949,59,63,31,34,2.9946,54946270.97,10
H&M,8,44,3478.63,50.3291,0.069745,85,59,44,31,2.9385,54283147.72,11
H&M,8,45,3410.78,45.6798,0.021378,72,85,37,44,2.8888,52345358.6,11
H&M,8,46,2221.14,35.2054,0.18152,69,72,36,37,2.8292,59302549.18,11
H&M,8,47,2993.42,43.926,0.20338,100,69,52,36,2.7656,71155437.58,11
H&M,8,48,3376.86,44.6492,0.212,82,100,44,52,2.7009,115816443,12
